Column 1,Title Punjabi,Short Description,Title English,Artist Name Punjabi,Artist Name English,Category,Medium Punjabi,Medium ,Picture Received,Is Final,Punjabi Wrieup Received,English Writeup Received,Added to Website,Comments
1,ਪ੍ਰਿਥਮ ਭਗਉਤੀ ਸਿਮਰਿ ਕੈ  (ਸ਼ਸਤਰ),Yes,In the beginning I remember Bhagauti(Shastar),ਪਰਮ ਸਿੰਘ ,Parm Singh,Foundation,,Traditional Arms,Yes,,,,,
2,ਨਾਮ ਜਪੋ ,,Naam Japo(Pray),ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,Foundation,,Oil Painting,Yes,,,,,
3,ਕਿਰਤ ਕਰੋ,,Kirat Karo(Earn an honest living),ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,Foundation,,Oil Painting,Yes,,,,,
4,ਵੰਡ ਛਕੋ,,Vand Shako(Share What You Have),ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,Foundation,,Oil Painting,Yes,,,,,
5,ਸਬਦ ਗੁਰੂ ਸੁਰਤਿ ਧੁਨਿ ਚੇਲਾ॥,,Shabad Guru Surat Dhun Chela ||,ਮਨਜੀਤ ਕੌਰ,Manjeet Kaur,Foundation,,Miniature Style  Painting,Yes,,,,,
6,ਚੱਪੜ ਝਿੜੀ ਦੀ ਜੰਗ,,Battle of Chappad Chidi,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Canvas Print,Yes,,,,,
7,ਬਾਬਾ ਬੰਦਾ ਸਿੰਘ ਬਹਾਦੁਰ,,Baba Banda Singh Bahadar,ਜਗਦੀਪ ਸਿੰਘ,Jagdeep Singh,History,,Oil Painting,Yes,,,,,
8,ਭਾਈ ਤਾਰਾ ਸਿੰਘ ਵਾਂ ਦਾ ਜੰਗ,,Bhai Tara Singh Van's Battle,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Canvas Print,Yes,,,,,
9,ਚਵਿੰਡੇ ਵਾਲੀਆਂ ਬੀਬੀਆਂ ਦੀ ਜੰਗ ,,Battle of Kaur's at Chavinda,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Oil Painting,Yes,,,,,
10,ਭਾਈ ਮਨੀ ਸਿੰਘ ਸ਼ਹਾਦਤ,,Martyrdom of Bhai Mani Singh,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,History,,Oil Painting,Yes,,,,,
11,ਭਾਈ ਗਰਜਾ ਸਿੰਘ ਬੋਤਾ ਸਿੰਘ,,Bhai Garja Singh Bota Singh,ਮਨਿੰਦਰ ਸਿੰਘ ,Maninder Singh,History,,Oil Painting Replica,Yes,,,,,
12,ਛੋਟਾ ਘੱਲੂਘਾਰਾ,,Chhota Ghallughara,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Canvas Print,Yes,,,,,
13,ਭਾਈ ਤਾਰੂ ਸਿੰਘ ਸ਼ਹਾਦਤ,,Martyrdom of Bhai Taru Singh,ਜਗਵਿੰਦਰ ਸਿੰਘ,Jagwinder Singh,History,,Low Relief,Yes,,,,,
14,ਦਲ ਖ਼ਾਲਸਾ ਦਾ ਗਠਨ,,Formation of Dal Khalsa,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Oil Painting,Yes,,,,,
15,ਬਾਬਾ ਦੀਪ ਸਿੰਘ ਜੀ ਦਾ ਜੰਗ,,Battle of Baba Deep Singh Ji,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Oil Painting,Yes,,,,,
16,ਵੱਡਾ ਘੱਲੂਘਾਰਾ,,Vadda Ghallughara,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Canvas Print,Yes,,,,,
17,ਅਕਾਲੀ,,Akali(Timeless),ਮਨਜੀਤ ਕੌਰ,Manjeet Kaur,History,,Miniature Painting Replica,Yes,,,,,
18,ਜੱਸਾ ਸਿੰਘ ਰਾਮਗੜ੍ਹੀਆ,,Jassa Singh Ramgarhia,ਮਨਜੀਤ ਕੌਰ,Manjeet Kaur,History,,Miniature Painting Replica,Yes,,,,,
19,੧੮ਵੀਂ ਸਦੀ ਦਾ ਸਿੰਘ,,18th Century Singh,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Oil Painting,Yes,,,,,
20,ਜੈਨ ਖਾਨ ਦੀ ਮੌਤ ਤੇ ਸਰਹਿੰਦ ਉੱਤੇ ਕਬਜ਼ਾ,,Victory over Sirhind,ਪਰਮ ਸਿੰਘ ,Parm Singh,History,,Oil Painting,Yes,,,,,
21,ਪਾਤਸ਼ਾਹੀ - ਬਾਦਸ਼ਾਹੀ,,Paatshahi - Baadshahi,ਪਰਮ ਸਿੰਘ ,Parm Singh,Foundation,,Oil Painting,Yes,,,,,
22,ਸਿੰਘ vs ਸਿੰਘ ,,Singh vs Singh,ਜਗਵਿੰਦਰ ਸਿੰਘ,Jagwinder Singh,History,,Metal Sculpture,--,,,,,Will be delivered later
23,ਦਰਬਾਰ ਮਹਾਰਾਜਾ ਰਣਜੀਤ ਸਿੰਘ,,Darbar Maharaj Ranjeet Singh,ਜਗਦੀਪ ਸਿੰਘ,Jagdeep Singh,History,,Oil Painting,Yes,,,,,
24,ਅਕਾਲੀ ਫੂਲਾ ਸਿੰਘ ਜੀ,,Akali Phoola Singh,ਪਰਮ ਸਿੰਘ ,Parm Singh,Portrait,,Oil Painting,Yes,,,,,
25,ਸਰਦਾਰ ਹਰੀ ਸਿੰਘ ਨਲਵਾ,,Sardar Hari Singh Nalwa,ਪਰਮ ਸਿੰਘ ,Parm Singh,Portrait,,Oil Painting,Yes,,,,,
26,ਮਹਾਰਾਣੀ ਜਿੰਦ ਕੌਰ,,Mahrani Jind Kaur,ਸੁਯਸ਼ ,Suyash,Portrait,,Oil Painting,Yes,,,,,
27,ਕੰਵਰ ਨੌਨਿਹਾਲ ਸਿੰਘ,,Kunwar Naunihal Singh,ਸੁਯਸ਼ ,Suyash,Portrait,,Oil Painting,Yes,,,,,
28,ਮਹਾਰਾਜਾ ਦਲੀਪ ਸਿੰਘ,,Maharaja Duleep Singh,ਸੁਯਸ਼ ,Suyash,Portrait,,Oil Painting,Yes,,,,,
29,ਐਂਗਲੋ - ਸਿੱਖ ਜੰਗਾਂ - ਮੁੱਦਕੀ ਦੀ ਜੰਗ ,,Anglo Sikh Wars - Battle of Muddki,ਗੁਰਰਾਜ ਸਿੰਘ ,Gurraj Singh,History,,Oil Painting,Yes,,,,,
30,ਕੂਕਾ ਲਹਿਰ,,Kooka Movement,ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,History,,Oil Painting,Yes,,,,,
31,ਗਦਰ ਲਹਿਰ ,,Gadar Movement,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,History,,Oil Painting,Yes,,,,,
32,ਬਾਬਾ ਸੋਹਣ ਸਿੰਘ ਭਕਨਾ,,Baba Sohan Singh Bhakna,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,Gadar Lehar Portrait,,Oil Painting,Yes,,,,,
33,ਸ਼ਹੀਦ ਕਰਤਾਰ ਸਿੰਘ ਸਰਾਭਾ,,Saheed Kartar Singh Sarabha,ਗੁਰਸ਼ਰਨ ਸਿੰਘ ,Gursharan Singh,Gadar Lehar Portrait,,Oil Painting,Yes,,,,,
34,ਬੀਬੀ ਗੁਲਾਬ ਕੌਰ,,Bibi Gulab Kaur,ਡੇਨੀਅਲ ,Daniel,Gadar Lehar Portrait,,Oil Painting,Yes,,,,,
35,ਬਬਰ ਅਕਾਲੀ ਲਹਿਰ,, Babbar Akali Movement,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,History,,Oil Painting,Yes,,,,,
36,ਬਬਰ ਕਰਮ ਸਿੰਘ,,Babbar Karm Singh,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,Babbar Akali Lehar Portrait,,Oil Painting,Yes,,,,,
37,ਬਬਰ ਰਤਨ ਸਿੰਘ,,Babbar Ratan Singh,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,Babbar Akali Lehar Portrait,,Oil Painting,Yes,,,,,
38,ਬਬਰ ਕਿਸ਼ਨ ਸਿੰਘ ਗੜਗੱਜ,,Babbar Kishan Singh Gadgajj,ਕੁਲਦੀਪ ਸਿੰਘ,Kuldeep Singh,Babbar Akali Lehar Portrait,,Oil Painting,Yes,,,,,
39,ਬਬਰ ਧੰਨਾ ਸਿੰਘ ਬਹਿਬਲ ਕਲਾਂ,,Babbar Dhanna Singh Behbal Kalan,ਸੁਯਸ਼ ,Suyash,Babbar Akali Lehar Portrait,,Oil Painting,--,,,,,
40,ਬਬਰ ਹਰਬੰਸ ਸਿੰਘ ਸਰਹਾਲਾ,,Babbar Harbans Singh Sarhala,ਸੁਯਸ਼ ,Suyash,Babbar Akali Lehar Portrait,,Oil Painting,--,,,,,
41,ਭਾਈ ਵੀਰ ਸਿੰਘ ਜੀ,,Bhai Vir Singh Ji,ਸੁਯਸ਼ ,Suyash,20th Century Portraits,,Oil Painting,Yes,,,,,
42,⁠ਪ੍ਰੋ ਪੂਰਨ ਸਿੰਘ,,Prof Pooran Singh,ਡੇਨੀਅਲ ,Daniel,20th Century Portraits,,Oil Painting,Yes,,,,,
43,ਗਿਆਨੀ ਦਿੱਤ ਸਿੰਘ,,Giani Ditt Singh,ਸੁਯਸ਼ ,Suyash,20th Century Portraits,,Oil Painting,Yes,,,,,
44,ਭਾਈ ਰਣਧੀਰ ਸਿੰਘ ਜੀ,,Bhai Randhir Singh Ji,ਗੁਰਰਾਜ ਸਿੰਘ ,Gurraj Singh,20th Century Portraits,,Oil Painting,Yes,,,,,
45,ਮਾਸਟਰ ਤਾਰਾ ਸਿੰਘ,,Master Tara Singh,ਗੁਰਰਾਜ ਸਿੰਘ ,Gurraj Singh,20th Century Portraits,,Oil Painting,Yes,,,,,
46,ਡਾ ਗੰਡਾ ਸਿੰਘ,,Doctor Gandha Singh,ਪਰਮ ਸਿੰਘ ,Parm Singh,20th Century Portraits,,Oil Painting,Yes,,,,,
47,ਕਰਮ ਸਿੰਘ ਹਿਸਟੋਰੀਅਨ,,Karm Singh Historian,ਗੁਰਸ਼ਰਨ ਸਿੰਘ ,Gursharan Singh,20th Century Portraits,,Oil Painting,Yes,,,,,
48,ਬੀਬੀ ਹਰਨਾਮ ਕੌਰ,,Bibi Harnam Kaur,ਸੁਯਸ਼ ,Suyash,20th Century Portraits,,Oil Painting,Yes,,,,,
49,ਭਾਈ ਕਾਹਨ ਸਿੰਘ ਨਾਭਾ,,Bhai Kaahn Singh Nabha,ਪਰਮ ਸਿੰਘ ,Parm Singh,20th Century Portraits,,Oil Painting,Yes,,,,,
50,ਵਿਸ਼ਵ ਜੰਗਾਂ,,World Wars,ਜਗਦੀਪ ਸਿੰਘ,Jagdeep Singh,History,,Oil Painting,Yes,,,,,
51,੧੯੪੭ ਦੀ ਵੰਡ,,Partition of 1947,ਰਵਿੰਦਰ ਸਿੰਘ,Ravinder Singh,Modern Art Style Painting,,Canvas Print,Yes,,,,,
52,ਭਾਈ ਫੌਜਾ ਸਿੰਘ ਜੀ,,Bhai Fauja Singh Ji,ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,1978,,Oil Painting,Yes,,,,,
53,ਸੰਤਾਂ ਦੀ ਸ਼ਹਾਦਤ,,Martyrdom of Sant Jarnail Singh Ji,ਪਰਮ ਸਿੰਘ ,Parm Singh,ਤੀਜਾ ਘੱਲੂਘਾਰਾ,,Canvas Print,Yes,,,,,
54,"ਤੀਜਾ ਘੱਲੂਘਰਾ - ਜੂਨ 1984
(ਅਕਾਲ ਤਖ਼ਤ ਸਾਹਿਬ ਮਾਡਲ)",,"Teeja Ghallughara - June 1984
(Model Akal Takht Sahib)",ਜਗਵਿੰਦਰ ਸਿੰਘ,Jagwinder Singh,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Model,Yes,,,,,
55,ਸੰਤ ਜਰਨੈਲ ਸਿੰਘ ਜੀ,,Sant Jarnail Singh Ji,ਗੁਰਰਾਜ ਸਿੰਘ ,Gurraj Singh,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
56,ਭਾਈ ਅਮਰੀਕ ਸਿੰਘ ਜੀ,,Bhai Amrik Singh Ji,ਸੁਯਸ਼ ,Suyash,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
57,ਜਨਰਲ ਸੁਬੇਗ ਸਿੰਘ ਜੀ,,General Subegh Singh Ji,ਸੁਯਸ਼ ,Suyash,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
58,ਬਾਬਾ ਠਾਹਰਾ ਸਿੰਘ ਜੀ,,Baba Thahra Singh Ji,ਸੁਯਸ਼ ,Suyash,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
59,ਬੀਬੀ ਉਪਕਾਰ ਕੌਰ,,Bibi Upkar Kaur Ji,ਸੁਯਸ਼ ,Suyash,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
60,ਭਾਈ ਮਹਿੰਗਾ ਸਿੰਘ ਬਬਰ,,Bhai Mehnga Singh Babbar,ਸੁਯਸ਼ ,Suyash,ਤੀਜਾ ਘੱਲੂਘਾਰਾ Portrait,,Oil Painting,Yes,,,,,
61,ਨਵੰਬਰ ੧੯੮੪,,November 1984,ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,Sikh Genocide,,Oil Painting,Yes,,,,,
62,ਪੰਜਾਬ ਦਾ ਪੁਰਾਣਾ ਘਰ ,,Punjab Old Home,ਜਗਦੀਪ ਸਿੰਘ,Jagdeep Singh,Punjabi Culture,,Miniature Model,Yes,,,,,
63,ਸਟੈਪੂ - ਪੰਜਾਬ ਦੀਆਂ ਲੋਕ ਖੇਡਾਂ ,,Stappoo ,ਸੁਖਪ੍ਰੀਤ ਸਿੰਘ ਆਰਟਿਸਟ ,Sukhpreet Singh Artist,Punjabi Culture,,Oil Painting,Yes,,,,,
64,ਮਾਂ ਦੀ ਕਲਾ  ,,Mother's Creation ,ਜਸਪ੍ਰੀਤ ਸਿੰਘ ,Jaspreet Singh,Punjabi Culture,,Oil Painting,Yes,,,,,
65,ਦਾਦੀ ਪੋਤਾ ,,Dadi Pota ,ਪਰਮ ਸਿੰਘ ,Parm Singh,Punjabi Culture,,Canvas Print,Yes,,,,,
66,ਕੀਰਤਨ (ਲਿਖਤ),,Kirtan Writing ,,,,,Set of Instruments,--,,,,,No Art - Only written text.
67,ਕੀਰਤਨ (ਮੂਰਤੀ),,Kirtan Sculpture,ਜਗਵਿੰਦਰ ਸਿੰਘ,Jagwinder Singh,Kirtan,,Sculpture,Yes,,,,,
68,ਪੰਜਾਬ ਦਾ ਨਕਸ਼ਾ,,Map(Optional Later),ਪਰਮ ਸਿੰਘ ,Parm Singh,Map,,Paper Print,,,,,,
71,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,